Sun Dec 27 17:01:46 +0000 2015,681158038972149761,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ismkaya,"San Francisco, CA",,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 15:45:27 +0000 2015,681138833149276160,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",volkan_aktas,Mersin,,,"RT @s3yfullah: Nic.tr’nin yaşadığı #DDoS problemi üzerine…

https://t.co/5ZqsBMGSpa"

Sun Dec 27 15:32:07 +0000 2015,681135479920668673,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",nemelazim03,Türkiye,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 14:55:22 +0000 2015,681126228200427520,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",haroldobserver,İstanbul,,,"RT @s3yfullah: Nic.tr’nin yaşadığı #DDoS problemi üzerine…

https://t.co/5ZqsBMGSpa"

Sun Dec 27 14:39:04 +0000 2015,681122129232945152,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",xxxmikro,,,,"RT @s3yfullah: Nic.tr’nin yaşadığı #DDoS problemi üzerine…

https://t.co/5ZqsBMGSpa"

Sun Dec 27 14:35:42 +0000 2015,681121280540696576,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",uygarkoroglu,,,,RT @voransoy: Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/RZUhFj8SLX https://t.co/yrArhCo67G

Sun Dec 27 14:05:38 +0000 2015,681113712091099136,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",tboztuna,"Istanbul, Turkey",,,Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/zMyRfgYv6d via @voransoy

Sun Dec 27 13:46:43 +0000 2015,681108952113876992,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",s3yfullah,"Ankara, TURKEY",,,"Nic.tr’nin yaşadığı #DDoS problemi üzerine…

https://t.co/5ZqsBMGSpa"

Sun Dec 27 13:41:44 +0000 2015,681107699652767744,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CryptoFalconX,,,,Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/E3pPHXnKE1 via @voransoy

Sun Dec 27 13:30:37 +0000 2015,681104903050231808,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",karakusakosman,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 13:03:22 +0000 2015,681098045388369921,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bugrayuksel,,,,RT @voransoy: Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/RZUhFj8SLX https://t.co/yrArhCo67G

Sun Dec 27 11:51:19 +0000 2015,681079913366089729,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",aokocax,Istanbul,,,@hmert @makseli bir 5 yil geriden geliyor nic.tr bundan ileriye tasiyacaktir diye umuyorum.

Sun Dec 27 11:46:25 +0000 2015,681078679028547584,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bbmnr,,,,Son günlerde ki Siber saldırıların detaylarını ve gündem üzerindeki tartışmaları merak eden varsa; https://t.co/nHYVP3RUqo

Sun Dec 27 11:33:38 +0000 2015,681075463377317888,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",yarimkalansoz,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 11:25:36 +0000 2015,681073440502198272,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ecdad_1299,Türkiye,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sun Dec 27 11:04:06 +0000 2015,681068030806351873,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",egesirman,,,,RT @voransoy: Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/RZUhFj8SLX https://t.co/yrArhCo67G

Sun Dec 27 11:03:08 +0000 2015,681067787796742144,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",xuma,Denizli,,,RT @voransoy: Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/RZUhFj8SLX https://t.co/yrArhCo67G

